display_name,party_type,tin_display,country_code,transaction_code,email,address_full,buyer_document,buyer_document_number,buyer_idtku,seller_display_name,seller_internal_party_id__do_not_edit,internal_party_id__do_not_edit
CV. Raton Food 999,buyer,811243922407000,IDN,4,,JL. PERJUANGAN Blok - No.28 RT:000 RW:000 Kel.- Kec.BEKASI UTARA Kota/Kab.BEKASI JAWA BARAT 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Foodex Inti Ingredients,buyer,17135658431000,IDN,4,,JL. SOKA DELTA SILICON 3 LIPPO CIKARANG Blok F 18 No.11-12 RT:000 RW:000 Kel.CICAU Kec.CIKARANG PUSAT Kota/Kab.BEKASI JAWA BARAT 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Karawang Foods Lestari,buyer,21656939413000,IDN,4,,"JL. KAPUK, DELTA SILICON III IND. PARK Blok F 19 No.9 RT:000 RW:000 Kel.CICAU Kec.CIKARANG PUSAT Kota/Kab.BEKASI JAWA BARAT 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Antaran Sukses Mandiri,buyer,838104784416000,IDN,4,,JL RADEN FATAH Blok - No.10 RT:001 RW:001 Kel.- Kec.- Kota/Kab.TANGERANG - 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
MUSTIKA ALAM LESTARI,buyer,21886361046000,IDN,4,,Jalan Bitung Ujung No.1 Pelabuhan Tanjung Priuk Blok - No.- RT:000 RW:000 Kel.- Kec.- Kota/Kab.Jakarta Utara DKI Jakarta 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Lautan Natural Krimerindo,buyer,311922611602000,IDN,4,,"Jl. Raya Mojosari - Pacet KM.04, Pesanggrahan Blok - No.- RT:001 RW:001 Kel.Ketidur Kec.Kutorejo Kota/Kab.Mojokerto Jawa Timur 61383",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Jinyoung,buyer,20265849052000,IDN,4,,"KAW. INDUSTRI KLAPANUNGGAL KM.26,5 Blok - No.- RT:000 RW:000 Kel.KLAPANUNGGAL Kec.CILEUNGSI Kota/Kab.BOGOR JAWA BARAT 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Sin A Sixfifteen,buyer,10713543059000,IDN,4,,"JL. REMBANG INDUSTRI, KAWASAN PIER PANDEAN REMBANG Blok I/30 No.000 RT:000 RW:000 Kel.- Kec.- Kota/Kab.PASURUAN JAWA TIMUR 67152",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Yupi Indo Jelly Gum,buyer,17036013431000,IDN,4,,JL. PANCASILA IV Blok - No.- RT:000 RW:000 Kel.CICADAS Kec.GUNUNG PUTRI Kota/Kab.BOGOR JAWA BARAT 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Transworld Gls Indonesia,buyer,713009322043000,IDN,4,,GEDUNG KIRANA DUA LT 16 UNIT D JL. BOULEVARD TIMUR Blok - No.88 RT:005 RW:002 Kel.PEGANGSAAN DUA Kec.- Kota/Kab.JAKARTA UTARA - 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
