display_name,party_type,tin_display,country_code,transaction_code,email,address_full,buyer_document,buyer_document_number,buyer_idtku,seller_display_name,seller_internal_party_id__do_not_edit,internal_party_id__do_not_edit
PT. Tdk Electronics Indonesia,buyer,26925222217000,IDN,4,,JALAN EPCOS JAYA KAWASAN INDUSTRI PANBIL Blok B1 No.B10 RT:000 RW:000 Kel.MUKA KUNING Kec.SEI BEDUK Kota/Kab.BATAM KEPULAUAN RIAU 53451,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Hamada Distribusi Teknologi,buyer,760982454013000,IDN,4,,PERKANTORAN GANDARIA 8 LT. 8. JL. SULTAN ISKANDAR MUDA Blok 000 No.000 RT:000 RW:000 Kel.KEBAYORAN LAMA UTARA Kec.KEBAYORAN LAMA Kota/Kab.JAKARTA SELATAN DKI JAKARTA 12240,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Docotel Teknologi,buyer,314746728013000,IDN,4,,Jl. KH. Hasyim Ashari No. 16 Blok 000 No.016 RT:001 RW:004 Kel.Petojo Utara Kec.Gambir Kota/Kab.Jakarta Pusat DKI Jakarta 10130,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
CV. Bina Nauli Persada,buyer,27985894903000,IDN,4,,JL. Ceningan Sari Blok 000 No.10 RT:000 RW:000 Kel.Sesetan Kec.Denpasar Selatan Kota/Kab.Denpasar Bali 80223,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Thomas Maritim Indonesia,buyer,840468490034000,IDN,4,,"SEDAYU SQUARE J NO. 17 OUTER RING RINGROAD RT.005 RW 012 CENGKARENG BARAT, CENGKARENG, JAKARTA BARAT DKI JAKARTA",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Cometa Can,buyer,10028710415000,IDN,4,,TELESONIC UJUNG KM 8 NO.5 Blok 000 No.000 RT:000 RW:000 Kel.PASIR JAYA Kec.JATIUWUNG Kota/Kab.TANGERANG BANTEN 15135,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Pln Nusantara Power,buyer,17713926051000,IDN,4,,KETINTANG BARU 11 Blok 000 No.000 RT:000 RW:000 Kel.KETINTANG Kec.GAYUNGAN Kota/Kab.SURABAYA JAWA TIMUR 60234,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Anzen Pakarindo,buyer,13304399032000,IDN,4,,JL. SUKARJO WIRYOPRANOTO Blok 000 No.37 RT:000 RW:000 Kel.MAPHAR Kec.TAMANSARI Kota/Kab.JAKARTA BARAT DKI JAKARTA 11160,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Robert Bosch Automotive,buyer,33156407013000,IDN,4,,JL. AGATIS DELTA SILICON 3 INDUSTRIAL ESTATE LIPPO CIKARANG Blok 000 No.000 RT:000 RW:000 Kel.CICAU Kec.CIKARANG PUSAT Kota/Kab.BEKASI JAWA BARAT 17530,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Exedy Manufacturing Indonesia,buyer,10615425055000,IDN,4,,JL. PERMATA V LOT EE-3 KAWASAN INDUSTRI KIIC Blok 000 No.000 RT:000 RW:000 Kel.TELUKJAMBE Kec.TELUKJAMBE TIMUR Kota/Kab.KARAWANG JAWA BARAT 41361,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
